날짜,사건,추가 정보,기간
587 BC,바빌론 유수,"바빌론 유수는 기원전 587년 유다 왕국이 멸망하면서 시드기야왕을 비롯한 유대인이 바빌로니아의 수도 바빌론에 포로로 잡혀간 것을 말하며, 기원전 538년에 바빌로니아를 정복한 페르시아 제국의 키루스 2세에 의해 풀려날 때까지 약 50년 동안의 기간을 뜻하기도 한다.",0
583 BC,"조로아스터교, 페르시아에 퍼짐","조로아스터교, 페르시아에 퍼짐.",0
550 BC,기원전 550년,기원전 550년의 세계지도. 제목을 클릭하세요.,0
550 BC,"페르시아, 아케메네스 왕조","아케메네스 왕조(Achaemenid dynasty)은 아케메네스를 시조로 하는 페르시아 제국이다. 아케메네스 왕조는 최대 판도였을 당시 3개 대륙에 걸친 대제국이었다. 동쪽으로는 아프가니스탄, 파키스탄의 일부에서부터 이란, 이라크 전체 흑해 연안의 대부분의 지역과 소아시아 전체, 서쪽으로는 발칸 반도의 트라키아, 현재의 팔레스타인 전역과 아라비아 반도, 이집트와 리비아에 이르는 광대한 지역이 아케메네스 왕조의 영토였다.",550 BC ~ 330 BC
544 BC,석가모니 사망(?),"석가모니(釋迦牟尼 · Sakyamuni: 기원전 624?~544?)는 불교의 교주(敎主)이다. 석가(釋迦)는 부족명(部族名)으로서 능하고 어질다는 뜻이고 모니(牟尼)는 수행자나 성자라는 뜻이다. 석가모니는 석가족(釋迦族)의 성자(聖者)라는 존칭이다. 기타(其他) 세존 · 석존 · 불 · 여래 등 존칭 10개와 아명(兒名)인 싯다르타 고타마가 있으며, 서양에서는 고타마 붓다라고 흔히 부른다. 석가모니의 생몰년을 두고는 근거가 없는 탓에 여러 주장이 분분하다. 세계불교도대회에서는 기원전 624년 ~ 기원전 544년으로 공식 채택했다.",0
539 BC,"신新바빌로니아,페르시아에게 멸망","왕위에 오른 키루스 2세는 기원전 555년 메디아 왕국을 점령했으며, 기원전 545년에 소아시아를 점령한데 이어 기원전 539년에는 메소포타미아 지역의 강대국인 신바빌로니아 제국을 멸망시켰다.",0
527 BC,기원전 527년,기원전 527년의 세계지도. 제목을 클릭하세요.,0
525 BC,"페르시아,이집트 정복하고 오리엔트 통일","페르시아가 내정문제로 인해 정복의 손길을 잠시 늦추고 있는 동안에, 이집트의 파라오였던 아마시스 왕은 그리스의 도시국가들과 연대해 페르시아에 대항하려 했다. 그러나 기원전 526년, 아마시스가 죽은 지 불과 몇 달도 지나지 않아, 이집트 군대는 페루시움에서 페르시아 군대와 조우해 크게 패하고 말았다. 그리고 새 파라오 프삼테크 3세는 페르시아의 대왕 캄비세스에 의해 반기를 들고 대적했다는 이유로 처형되었다.",0
509 BC,로마 공화정,로마 공화정(-共和政)은 고대 로마 시대에서 기원전 510년경 왕정을 폐지하고 이후 450여 년간 로마 정치를 이끌었던 공화정 정체(政體)와 그 정부를 일컫는다.,0
507 BC,"아테네,민주정 성립",아테네는 히피아스의 참주 정치 이후 클레이스테네스의 주도로 기원전 507년 민주정을 성립하였다.,0
499 BC,그리스-페르시아 전쟁,"그리스-페르시아 전쟁(또는 페르시아 전쟁으로 칭하기도 한다.)은 고대 그리스의 도시국가 연합과 페르시아 제국이 격돌한 전쟁을 말하며, 기원전 499년에 일어나 450년까지 이어졌다.",499 BC ~ 450 BC
479 BC,공자의 사망,중국의 대철학자이며 유교의 개조이다. 기원전 551년에 태어나 기원전 479년에 죽었다. 여러 관직을 떠돌았으나 인간의 본질을 회복하려는 그의 가르침은 사후에 큰 호응을 얻어 지금까지 2400년 동안 동양의 사상에 영향을 미쳤다.,0
477 BC,델로스 동맹,"델로스 동맹은 페르시아의 재습격에 대비할 것을 명분으로 하여 기원전 477년의 봄, 아테네를 맹주로 이오니아나 아이올리스 그리고 에게 해의 여러 섬에 있는 폴리스가 가맹하여 결성된 동맹(제1회 아테네 해상 동맹)이다.",0
461 BC,"아테네,펠리클레스 시대","페리클레스(Περικλῆς, 기원전 495년경 ~ 429년)는 고대 그리스 아테네의 정치가, 웅변가, 장군으로, 그리스-페르시아 전쟁과 펠로폰네소스 전쟁 사이에 아테나이의 황금 시대를 연 인물이다.",461 BC ~ 429 BC
450 BC,로마 12표법,"12표법(十二表法)은 로마법의 기초를 이룬 고대 로마의 성문법이다. 12표법은 로마 공화정 정체(政體)의 중심이자, 로마적 전통(Mos Maiorum)의 근간이었다.",0
440 BC,헤로도토스《역사》,《역사》(The Histories)는 헤로도토스 작의 역사서이다. 헤로도토스는 이 책을 저술함으로써 ‘역사의 아버지’로 불렸다.,0
431 BC,펠로폰네소스 전쟁,"펠로폰네소스동맹 도시와 아테네의 전쟁으로 27년간 계속되었다. 아테네는 델로스동맹을 중심으로 잘 싸웠으나, 제3차 전쟁 때 식량 수송로 차단과 동맹 도시들의 탈퇴로 스파르타에 항복하였다.",431 BC ~ 404 BC
430 BC,"아테네,전염병 유행","기원전 430년과 426년에 아테네를 덮친 역병. 종래 페스트로 알려진 이 역병은 최근의 연구에서는 장티푸스였을 것으로 추정되는데, 아무튼 페리클레스의 주장에 따라 아테네 성벽 안에 주민들이 밀집해 있었기 때문에 피해는 더욱 컸다. 기원전 429년에는 페리클레스 자신조차 역병의 희생자가 되고 만다. 이 역병은 아테네 인구의 삼분의 일을 쓸어갔다.",430 BC ~ 426 BC
404 BC,이집트 독립,"페르시아 왕들의 잇단 암살과 사망, 아테네와의 마라톤 전투에서의 패배 등을 계기로 델타 지역에서는 끊임없이 반 페르시아 봉기가 일어났다. 그때마다 무자비하게 진압되고 말았지만, 외세의 강점(强占)에 대한 저항의식은 꺾이지 않았다. 이런 정치적 불안정 속에서 건축, 조각, 문학은 흥성했으며, 그리스의 역사가 헤르도토스가 이집트를 방문한 것도 바로 이즈음이다. 그러다 120여 년이 지난 기원전 404년에 이르러서야 이집트는 그리스인들의 도움을 받아, 사이스 조 출신의 아미르타에우스에 의해 불안정하나마 독립을 쟁취할 수 있었다. 그리고 제29왕조(기원전 399~기원전 378) 시대에는 페르시아와 그리스 간의 팽팽한 세력균형에 힘입어 다시 국제 무대에 복귀했다.",0
403 BC,"중국, 전국시대","주가 수도를 낙읍으로 정하고 진이 중국을 통일한 때까지를 춘추전국시대라 하는데, 전반을 춘추시대, 한ㆍ위ㆍ조 삼국이 독립한 이후를 전국시대라 한다. 이 시대는 정치적으로 혼란했으나 농기구의 출현, 화폐경제 발달, 신분제도의 동요 등으로 사회, 경제면에서 크게 발전하였다.",403 BC ~ 221 BC
399 BC,소크라테스 사형,소크라테스 사형 당함.,0
359 BC,"중국,상앙의 변법",상앙이 추진했던 변법은 당시 법가사상을 바탕으로 강력한 부국강병을 목표로 하였다.천대받는 서생이었던 그는 자신의 정치사상과 법가를 실현할 나라로 진을 선택했다.또한 강력한 부국강병을 원했던 진효공과 뜻을 맞추어 소국에 불과했던 진을 전국시대 6국에 필적할 나라로 만드는데 성공한다.,0
338 BC,"마케도니아,그리스 패권","카이로네이아 전투에서 동맹군은 마케도니아와 맞붙었으나 대패하였고, 필리포스와 마케도니아군은 확실하게 그리스의 지배자가 되었다.",0
336 BC,알렉산드로스 대왕,"알렉산드로스 대왕(기원전 356년 7월 말~기원전 323년 6월 10일)은 필리포스 2세의 왕위를 계승한 후 인류 역사상 거대했던 제국인 알렉산드로스 제국을 세운 마케도니아 왕국의 왕으로서 그의 업적을 기려 마케도니아인 알렉산드로스 대왕이라 받들며, 때로는 계승 서열에 따라 알렉산드로스 3세라 일컫기도 한다. 대한민국에서는 영어의 영향으로 알렉산더 대왕(Alexander the Great)으로 더 많이 알려져 있다.",336 BC ~ 323 BC
332 BC,"알렉산드로스, 이집트 정복","알렉산더, 이집트 정복 후 알렉산드리아를 건설하다.",0
330 BC,"알렉산드로스, 페르시아 정복","다리우스 3세(Darius Ⅲ: 기원전 336년 즉위)는 마케도니아의 알렉산드로스 3세와의 전투에서 잇따라 패하였고, 기원전 330년 4월 수도인 페르세폴리스는 알렉산드로스의 수중에 떨어졌으며 같은 해 여름 피난길에서 베수스에게 살해되었다.",0
323 BC,기원전 323년,기원전 323년의 세계지도. 제목을 클릭하세요.,0
322 BC,"인도,마우리아 왕조",마우리아 왕조(기원전 322년~기원전 185년)는 인도의 고대 제국이다. 중심부는 손 강과 갠지스 강의 합류지점 근처에 있는 파탈리푸트라(이후 파트나)였다. 마우리아 왕조는 발전된 상비군과 관료제를 갖추었다.,322 BC ~ 185 BC
312 BC,셀레우코스 제국,"셀레우코스 제국은 알렉산드로스 대왕의 영토 가운데 헬레니즘의 계승국이다. 제국의 최대 영토는 아나톨리아 중부와 레반트, 메소포타미아, 페르시아, 투르크메니스탄, 파미르, 인더스 계곡을 포함한다. 알렉산드로스 대왕의 계승국 중에서 가장 영토가 넓었다.",0
306 BC,안티고노스 왕조,"알렉산드로스 대왕의 후계자 중 한 사람으로, 기원전 306년 마케도니아 왕으로 추대되어 안티고노스 왕조(기원전 306년~기원전 168년)를 열었다.",0
305 BC,프톨레마이오스 왕조,"프톨레마이오스 왕조는 기원전 305년부터 기원전 30년까지 이집트를 다스린 헬레니즘 계열의 왕가를 말한다. 파라오를 칭했고, 기존 이집트의 전통과 연속성이 있기 때문에 이집트 제32왕조라고도 불린다.",0
300 BC,진辰 건국,"진(辰)은 기원전 4세기경에서 기원전 2세기 무렵 청동기 및 초기 철기문화를 바탕으로 한반도 중남부지역에 존재한 초기 집단으로, 고조선과 공존하였고, 이후 마한, 변한, 진한의 삼한으로 정립된 것으로 보인다.",0
272 BC,"로마, 이탈리아 통일","기원전 272년경 로마 공화정은 게누아(제노바)에서 이탈리아 남단까지 이탈리아 반도 전체를 포괄하는 거대한 동맹 체제를 이끌었다. 그 뒤 로마는 150여 년 동안 여러 전쟁을 치르면서 갈리아, 삼니움, 카르타고와 같은 강적을 무찌르고 점차 이탈리아를 넘어 지중해 전역을 침략하여 정복하였다.",0
265 BC,아소카 왕 즉위,아소카는 인도 마가다 국 제3왕조인 마우리아 제국의 세 번째 임금으로 인도사상 최초의 통일국가를 이룬 왕이다(재위: 기원전 265년경 ~ 기원전 238년 혹은 기원전 273년경 ~ 기원전 232년).,0
264 BC,제1차 포에니 전쟁,제1차 포에니 전쟁(기원전 264년 ~ 기원전 241년)은 카르타고와 로마 사이에 벌어진 세 번의 포에니 전쟁 가운데 첫 번째 전쟁이다.,264 BC ~ 241 BC
247 BC,파르티아 제국,"파르티아는 오늘날의 이란 북동부에 해당하는 고대의 지역이다. 파르티아 제국의 전성기때에는 이란의 전 지역을 자신들의 세력으로 뒤덮었을 뿐 아니라, 아울러 오늘날의 아르메니아를 비롯한 이라크, 그루지야, 터키 동부, 시리아 동부, 투르크메니스탄, 아프가니스탄, 타지키스탄, 파키스탄, 쿠웨이트, 사우디 아라비아의 페르시아 만 해안 지역, 바레인, 카타르, 아랍 에미리트 연방까지 세력권에 넣었다.",0
221 BC,"진秦, 중국 통일","진나라(秦, 기원전 221년 ~ 기원전 206년)는 시황제에 의해 전국 시대를 통일한 중국 역사상 최초의 제국이다.",221 BC ~ 206 BC
218 BC,제2차 포에니 전쟁(한니발 전쟁),제2차 포에니 전쟁 또는 한니발 전쟁은 기원전 218년부터 기원전 202년까지 로마 공화정과 카르타고 사이에 벌어진 일련의 전쟁을 말한다. 카르타고의 장군 한니발과 로마의 대결이라는 점에서 한니발 전쟁으로도 부른다. 이 전쟁에서 로마 공화정은 초기에는 명장 한니발에 밀려 이탈리아 본토까지 침략당하였으나 끝내 역전에 성공하여 카르타고를 꺾고 지중해 서부의 패권을 차지한다.,218 BC ~ 201 BC
214 BC,만리장성 축성,"만리장성(萬里長城)은 흉노족 등의 북방 민족을 막기 위해 중국의 고대 진나라(시황제) 때 기존의 성곽을 이어 축조하여 만든 거대한 성곽이다(진시황의 명으로 축조한 것으로 알려져 있지만, 실은 이미 당시에 여러 성곽이 있었고 그것들을 연결한 것이라고 한다).",0
213 BC,분서갱유,진나라의 승상(丞相) 이사(李斯)가 주장한 탄압책으로 실용서적을 제외한 모든 사상서적을 불태우고 유학자를 생매장한 일.,0
209 BC,"묵돌선우,흉노 통일","묵돌 선우(冒頓 單于, 기원전 234년경 ~ 기원전 174년, 재위: 기원전 209년 ~ 기원전 174년) 혹은 묵특 선우, 모돈 선우는 기원전 3세기 말의 흉노의 선우이다. 묵돌이라는 이름은 투르크어의 Bayatur(바야투르, 용감한 자)를 한자로 음사한 것으로 알려져 있다.[1] 진시황의 통일과 비슷한 무렵 묵돌 선우가 유목 세계의 패권을 세운 이래 진한 제국과 맞먹는 적수가 되었고 한 고조가 흉노에게 포위당해 큰 곤경을 치른 이래 '돈으로 평화를 사는' 화친 관계를 맺어 무제 때까지 100년 가까이 계속되었다",0
206 BC,"유방,한漢 건국",전한은 고조 유방(劉邦)이 항우(項羽)와 대륙쟁탈 뒤에 세운 황조로서 진(秦)에 이어 중국을 두번째로 통일한 왕조이다.,0
